datetime,open,high,low,close,volume
2024-04-23 11:48:00,47987.85,47998.9,47981.75,47985.85,0
2024-04-23 11:49:00,47986.1,47987.8,47976.5,47984.05,0
2024-04-23 11:50:00,47984.6,48002.8,47983.15,47997.2,0
2024-04-23 11:51:00,47999.8,48002.7,47992.05,47992.05,0
2024-04-23 11:52:00,47994.55,47996.05,47985.4,47987.5,0
2024-04-23 11:53:00,47988.45,47994.15,47983.35,47993.65,0
2024-04-23 11:54:00,47992.8,48003.65,47989.45,47998.8,0
2024-04-23 11:55:00,47998.8,48006.0,47994.15,48002.3,0
2024-04-23 11:56:00,48001.15,48010.7,47996.05,48003.65,0
2024-04-23 11:57:00,48005.8,48010.1,47998.05,48000.05,0
2024-04-23 11:58:00,48000.0,48001.65,47989.1,47997.95,0
2024-04-23 11:59:00,47993.9,48005.65,47992.2,48000.45,0
2024-04-23 12:00:00,47997.9,48016.0,47994.85,48007.15,0
2024-04-23 12:01:00,48003.75,48007.15,47992.05,48002.55,0
2024-04-23 12:02:00,48001.55,48003.05,47994.45,47999.55,0
2024-04-23 12:03:00,48000.0,48000.0,47987.35,47990.2,0
2024-04-23 12:04:00,47990.2,47998.85,47982.9,47993.55,0
2024-04-23 12:05:00,47995.2,48005.0,47989.75,47997.85,0
2024-04-23 12:06:00,47989.15,48008.35,47987.3,48008.0,0
2024-04-23 12:07:00,48007.6,48011.9,47996.1,48007.15,0
2024-04-23 12:08:00,48003.8,48008.6,47997.0,48000.35,0
2024-04-23 12:09:00,47998.85,48017.9,47990.4,48017.9,0
2024-04-23 12:10:00,48018.2,48029.5,48009.8,48029.5,0
2024-04-23 12:11:00,48025.95,48054.4,48022.2,48048.95,0
2024-04-23 12:12:00,48050.1,48052.6,48037.75,48046.1,0
2024-04-23 12:13:00,48046.1,48054.5,48035.8,48049.3,0
2024-04-23 12:14:00,48051.55,48051.8,48039.15,48047.6,0
2024-04-23 12:15:00,48046.85,48059.45,48041.45,48056.8,0
2024-04-23 12:16:00,48055.2,48064.35,48040.85,48051.55,0
2024-04-23 12:17:00,48052.5,48059.75,48042.85,48051.15,0
2024-04-23 12:18:00,48053.2,48067.4,48046.9,48061.5,0
2024-04-23 12:19:00,48062.1,48068.45,48049.45,48063.45,0
2024-04-23 12:20:00,48065.7,48070.55,48055.3,48067.3,0
2024-04-23 12:21:00,48068.95,48081.6,48057.65,48064.15,0
2024-04-23 12:22:00,48070.9,48082.2,48062.75,48077.9,0
2024-04-23 12:23:00,48077.6,48086.65,48067.7,48072.15,0
2024-04-23 12:24:00,48069.75,48083.7,48061.65,48074.5,0
2024-04-23 12:25:00,48073.65,48078.2,48058.3,48070.6,0
2024-04-23 12:26:00,48071.2,48086.1,48062.15,48086.1,0
2024-04-23 12:27:00,48083.05,48088.85,48071.85,48081.3,0
2024-04-23 12:28:00,48081.85,48084.25,48065.75,48075.9,0
2024-04-23 12:29:00,48076.95,48076.95,48055.75,48064.8,0
2024-04-23 12:30:00,48063.25,48068.6,48050.65,48062.8,0
2024-04-23 12:31:00,48061.25,48067.3,48052.7,48063.2,0
2024-04-23 12:32:00,48064.1,48070.7,48053.15,48070.65,0
2024-04-23 12:33:00,48070.8,48072.35,48057.15,48065.75,0
2024-04-23 12:34:00,48064.7,48065.95,48050.85,48055.8,0
2024-04-23 12:35:00,48056.0,48064.3,48042.65,48054.25,0
2024-04-23 12:36:00,48053.85,48058.1,48036.6,48043.25,0
2024-04-23 12:37:00,48043.3,48055.95,48036.5,48046.65,0
2024-04-23 12:38:00,48046.85,48064.7,48042.75,48064.2,0
2024-04-23 12:39:00,48065.5,48068.9,48048.65,48060.5,0
2024-04-23 12:40:00,48059.2,48065.9,48051.5,48063.15,0
2024-04-23 12:41:00,48063.8,48067.8,48051.15,48058.65,0
2024-04-23 12:42:00,48058.25,48058.25,48036.6,48040.75,0
2024-04-23 12:43:00,48040.05,48050.0,48033.8,48041.5,0
2024-04-23 12:44:00,48040.95,48043.0,48029.2,48040.0,0
2024-04-23 12:45:00,48034.05,48038.8,48008.95,48019.55,0
2024-04-23 12:46:00,48017.6,48026.95,48013.8,48025.35,0
2024-04-23 12:47:00,48026.35,48033.25,48018.2,48031.7,0
2024-04-23 12:48:00,48030.45,48038.05,48023.5,48036.5,0
2024-04-23 12:49:00,48035.95,48040.15,48027.3,48032.2,0
2024-04-23 12:50:00,48031.15,48035.3,48022.05,48025.85,0
2024-04-23 12:51:00,48025.4,48038.4,48023.6,48036.05,0
2024-04-23 12:52:00,48035.1,48058.05,48032.65,48056.05,0
2024-04-23 12:53:00,48056.55,48056.55,48035.1,48042.75,0
2024-04-23 12:54:00,48044.35,48052.65,48031.55,48048.65,0
2024-04-23 12:55:00,48048.35,48057.2,48042.85,48056.8,0
2024-04-23 12:56:00,48052.6,48055.85,48042.1,48052.7,0
2024-04-23 12:57:00,48051.4,48051.4,48040.45,48047.4,0
2024-04-23 12:58:00,48047.2,48057.25,48038.7,48051.7,0
2024-04-23 12:59:00,48052.2,48057.15,48045.4,48051.45,0
2024-04-23 13:00:00,48052.3,48052.4,48031.9,48035.95,0
2024-04-23 13:01:00,48037.55,48039.35,48021.35,48026.75,0
2024-04-23 13:02:00,48025.45,48025.45,47999.1,48001.9,0
2024-04-23 13:03:00,48003.35,48015.15,47994.1,48005.75,0
2024-04-23 13:04:00,48007.9,48015.85,48003.95,48008.9,0
2024-04-23 13:05:00,48009.65,48019.15,47941.15,47964.95,0
2024-04-23 13:06:00,47969.3,47995.25,47966.6,47986.7,0
2024-04-23 13:07:00,47994.9,48011.2,47986.1,48000.95,0
2024-04-23 13:08:00,47999.9,48010.0,47989.4,47994.1,0
2024-04-23 13:09:00,47996.0,47997.15,47972.3,47976.15,0
2024-04-23 13:10:00,47977.4,47996.5,47973.15,47983.85,0
2024-04-23 13:11:00,47985.6,47989.9,47973.25,47980.65,0
2024-04-23 13:12:00,47980.6,47985.05,47952.05,47955.9,0
2024-04-23 13:13:00,47958.95,47964.75,47947.4,47961.3,0
2024-04-23 13:14:00,47961.35,47983.15,47955.7,47977.85,0
2024-04-23 13:15:00,47981.55,47983.15,47972.6,47973.7,0
2024-04-23 13:16:00,47977.4,47980.25,47954.0,47957.1,0
2024-04-23 13:17:00,47957.35,47961.5,47930.45,47942.1,0
2024-04-23 13:18:00,47938.95,47944.25,47903.8,47914.2,0
2024-04-23 13:19:00,47914.75,47917.85,47899.3,47912.85,0
2024-04-23 13:20:00,47917.15,47944.05,47903.35,47943.9,0
2024-04-23 13:21:00,47944.0,47944.0,47920.7,47931.95,0
2024-04-23 13:22:00,47930.4,47933.95,47916.4,47933.95,0
2024-04-23 13:23:00,47931.5,47943.65,47923.3,47941.95,0
2024-04-23 13:24:00,47936.65,47950.9,47929.65,47949.9,0
2024-04-23 13:25:00,47949.55,47959.35,47941.1,47958.5,0
2024-04-23 13:26:00,47954.35,47973.25,47949.05,47969.5,0
2024-04-23 13:27:00,47969.1,47986.75,47967.1,47979.2,0
2024-04-23 13:28:00,47976.6,47992.35,47965.1,47991.2,0
2024-04-23 13:29:00,47990.5,47999.1,47981.65,47988.3,0
2024-04-23 13:30:00,47986.1,47994.85,47971.15,47981.8,0
2024-04-23 13:31:00,47975.5,48000.0,47974.25,47997.1,0
2024-04-23 13:32:00,47995.55,48001.75,47979.25,47985.55,0
2024-04-23 13:33:00,47987.15,47990.0,47973.7,47980.35,0
2024-04-23 13:34:00,47978.3,47988.5,47974.0,47984.05,0
2024-04-23 13:35:00,47980.9,47985.7,47969.85,47975.0,0
2024-04-23 13:36:00,47975.4,47984.4,47967.1,47984.4,0
2024-04-23 13:37:00,47982.6,47997.4,47976.3,47995.15,0
2024-04-23 13:38:00,47993.7,47993.7,47977.25,47983.4,0
2024-04-23 13:39:00,47983.2,47996.0,47978.45,47994.75,0
2024-04-23 13:40:00,47996.25,48005.95,47983.3,48003.4,0
2024-04-23 13:41:00,48002.75,48011.3,47996.9,48006.2,0
2024-04-23 13:42:00,48007.45,48023.0,48003.1,48013.4,0
2024-04-23 13:43:00,48017.15,48019.8,47997.5,48004.45,0
2024-04-23 13:44:00,48007.15,48011.65,47991.05,47998.5,0
2024-04-23 13:45:00,48004.75,48006.65,47989.15,47993.45,0
2024-04-23 13:46:00,47999.35,48008.5,47988.45,48005.05,0
2024-04-23 13:47:00,48002.8,48012.55,47993.5,48003.6,0
2024-04-23 13:48:00,48004.3,48008.0,47985.5,47992.15,0
2024-04-23 13:49:00,47994.95,47997.6,47982.55,47991.8,0
2024-04-23 13:50:00,47993.7,47997.1,47970.3,47983.5,0
2024-04-23 13:51:00,47984.2,47987.1,47974.15,47980.6,0
2024-04-23 13:52:00,47980.25,47982.55,47969.25,47977.2,0
2024-04-23 13:53:00,47976.45,47987.15,47971.05,47983.2,0
2024-04-23 13:54:00,47983.65,47989.7,47977.45,47979.95,0
2024-04-23 13:55:00,47983.0,47997.85,47972.95,47990.7,0
2024-04-23 13:56:00,47991.95,47999.7,47986.9,47990.3,0
2024-04-23 13:57:00,47993.4,48002.65,47987.6,47989.5,0
2024-04-23 13:58:00,47997.4,48000.4,47981.95,47983.9,0
